Ratio of CH4 in Feed,Reaction Temperature,Ni Loading,Reaction Time,Pore Size,Pore Volume,Surface Area,H2-TPR Peak Temperature,Ni Particle Size,GHSV,CH4 Conversion,CO2 Conversion,Syngas_Ratio,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
0.333,700.0,10.0,20.0,8.5,0.192,241.0,624.4,28.0,144000.0,17.0,29.0,0.6,-0.13582504,0.37099144,-0.73068315,-0.3744777,-1.385264,0.37966263,-0.43172187,0.057560906,-0.19071543,-0.054572243
0.25,620.0,10.0,6.0,5.7,0.4,98.0,420.0,2.2,18000.0,54.5,37.6,0.9,-0.5775918,0.88349533,0.20743078,0.34309328,-1.615218,-0.06624729,-0.058492564,0.16556276,0.06727251,-0.7874164
0.25,620.0,10.0,6.0,5.4,0.4,98.0,495.0,2.2,18000.0,70.5,41.0,0.9,-0.2248037,0.5045898,-0.25539446,0.6023806,-1.2626885,0.12864892,0.19173548,0.20116998,-0.13368803,-1.1572818
0.25,620.0,10.0,6.0,5.4,0.4,99.0,505.0,2.4,18000.0,69.5,43.5,0.89,0.13102087,0.7852187,-0.31594822,0.584023,-1.4435266,0.039879173,0.25941837,0.47113362,0.021682044,-0.5892586
0.25,620.0,10.0,20.0,5.4,0.4,99.0,505.0,2.4,18000.0,66.8,38.8,0.98,0.13102087,0.7852187,-0.31594822,0.584023,-1.4435266,0.039879173,0.25941837,0.47113362,0.021682044,-0.5892586
0.25,620.0,10.0,10.0,5.4,0.4,99.0,505.0,2.4,18000.0,68.92,42.8,0.96,0.13102087,0.7852187,-0.31594822,0.584023,-1.4435266,0.039879173,0.25941837,0.47113362,0.021682044,-0.5892586
0.333,700.0,10.0,20.0,8.5,0.199,636.0,624.4,35.9,144000.0,25.0,34.0,0.589,1.5044861,-0.22794092,0.45800394,0.8181839,-0.76987827,0.311027,0.09538226,0.22066142,0.019951649,0.20180812
0.333,700.0,10.0,0.5,8.5,0.199,636.0,624.4,35.9,144000.0,37.0,53.0,0.53,1.5044861,-0.22794092,0.45800394,0.8181839,-0.76987827,0.311027,0.09538226,0.22066142,0.019951649,0.20180812
0.333,650.0,10.0,1.0,6.26,0.44,283.61,788.0,4.94,24000.0,30.8,70.7,1.18,0.7296941,1.0773716,0.88130385,-0.0022965607,-0.0722016,-0.15130936,-0.474108,-0.00048373148,-0.02318822,0.19033487
0.333,600.0,10.0,1.0,6.26,0.44,283.61,788.0,4.94,24000.0,24.8,54.8,1.06,0.7296941,1.0773716,0.88130385,-0.0022965607,-0.0722016,-0.15130936,-0.474108,-0.00048373148,-0.02318822,0.19033487
